id,created_at,content,post_time_of_day,post_day_of_week,sentiment_score,emotion_label,location,geolocation,account,reblogs_count,favourites_count,url
113602930734770364,2024-12-05T23:59:13+00:00,Fighting for Facts | Between the Lines https:// australiainstitute.org.au/post /fighting-for-facts-between-the-lines/?utm_source=rss&utm_medium=rss&utm_campaign=fighting-for-facts-between-the-lines # Auspol,Evening,Thursday,0.0,neutral,Canberra,"-35.280937,149.130009",IndyMediaAus@mastodon.social,1,0,https://mastodon.social/@IndyMediaAus/113602930529618941
113602906972336877,2024-12-05T23:53:12+00:00,"Master Builders Association doing Australia no favours on immigration policy https:// independentaustralia.net/polit ics/politics-display/master-builders-association-doing-australia-no-favours-on-immigration-policy,19231?utm_source=rss&utm_medium=rss&utm_campaign=IA_Feed # Auspol",Evening,Thursday,0.0,neutral,Gold Coast,"-28.016667,153.400000",IndyMediaAus@mastodon.social,0,0,https://mastodon.social/@IndyMediaAus/113602906861185408
113602899872039478,2024-12-05T23:51:16+00:00,It's only likely to help Zionists @ miclgael Let's not jump to conclusions. Wait for the outcome of investigations. # AusPol,Evening,Thursday,0.0,neutral,Sydney,"-33.868820,151.209296",DropBear@theblower.au,0,0,https://theblower.au/@DropBear/113602899228780026
113602803291140839,2024-12-05T23:26:50+00:00,# auspol Rowe,Evening,Thursday,0.0,neutral,Melbourne,"-37.813629,144.963058",transborg@aus.social,3,1,https://aus.social/@transborg/113602803196628267
113602762374827144,2024-12-05T23:16:26+00:00,"@ MorpheusB It's fantasy land (or if you like ""The Greatest Grift in Australian History"") all the way down whenever you see the LNP banging on about any of these topics: renewables, the environment, nuclear power. # auspol",Evening,Thursday,0.1688888888888889,positive,Adelaide,"-34.928497,138.600739",Bot4Sale@fairdinkum.one,2,1,https://fairdinkum.one/@Bot4Sale/113602762290492510
113602741282355445,2024-12-05T23:11:06.152000+00:00,"$1,191,943,014 in Federal contracts to the big consultants in 2024. $2,848,609 yesterday. - KPMG: $226,554 - Deloitte: $115,249 - Accenture: $2,506,806 {263} ( https:// politicalgadgets.com ) # auspol",Evening,Thursday,0.0,neutral,Perth,"-31.950527,115.860458",politicalgadgets,0,0,https://mastodon.au/@politicalgadgets/113602741282355445
113602714647403522,2024-12-05T23:04:19+00:00,"FFS can we please separate politicians from current Police investigations. If they were serious about the successful investigation and prosecution of offender(s), Politicians should be reminding themlsves and media about ‘Prejudice laws’ https://www. theguardian.com/australia-news /2024/dec/06/police-suspect-fire-that-engulfed-melbourne-synagogue-was-deliberately-lit # AusPol # AusLaw # VicPol # VicLaw",Evening,Thursday,0.052083333333333336,positive,Perth,"-31.950527,115.860458",ki_sekiya@aus.social,0,1,https://aus.social/@ki_sekiya/113602714617674227
113602650710674830,2024-12-05T22:48:03+00:00,"# auspol # RE # Nuclear # ABCRN # FactCheck Where do the LNP (Lying Nasty Party) via Senator Bridget Mckenzie get the figure of 68,000km of extra powerlines that are needed for wind and solar power. Yes, I accept that there may need to be new powerlines, as evidenced by the nearby wind farm. But the existing coal power stations all needed them built creating jobs and boosting economy. But the lines have minimal impact on landowners in the long term in my opinion, still being able to run livestock and crop under them. In my experience a lot less of impact that the gas wells and associated infrastructure and roads to them. The other problem not ever mentioned, is the management, storage and costs for 1,000s of years of the nuclear waste!",Evening,Thursday,-0.06194638694638695,negative,Adelaide,"-34.928497,138.600739",MorpheusB@aus.social,6,0,https://aus.social/@MorpheusB/113602650660917926
113602635865380564,2024-12-05T22:44:17+00:00,"CARTOONS: Trump's tariff talk is taking its toll https:// independentaustralia.net/life/ art-display/cartoons-trumps-tariff-talk-is-taking-its-toll,19229?utm_source=rss&utm_medium=rss&utm_campaign=IA_Feed # Auspol",Evening,Thursday,0.0,neutral,Brisbane,"-27.469770,153.025131",IndyMediaAus@mastodon.social,0,0,https://mastodon.social/@IndyMediaAus/113602635832571094
113602619347239977,2024-12-05T22:39:59+00:00,"""The real tragedy of the ABC is that it could be great. It could and should be that one place where all Australians - not just some - see themselves reflected."" https:// view.mc.austcommunitymedia.com .au/?qs=a7c60dfe7c7c0d07c73f2d03b5f9be0b9c4fd1bc746f60e5f7d33af3f0710800120b47e6163a0f23908261b7a1d3ef3cb965cd280544e7e33ed545c51755f458149e7e23cb55e5665346d899b620de32 # AusPol # OurABC",Evening,Thursday,0.2,positive,Perth,"-31.950527,115.860458",DropBear@theblower.au,0,0,https://theblower.au/@DropBear/113602618935685396
113602618551218467,2024-12-05T22:39:52+00:00,"# TheConversation # auspol CARTOONS: Trump's tariff talk is taking its toll Read more… https:// independentaustralia.net/life/ art-display/cartoons-trumps-tariff-talk-is-taking-its-toll,19229?utm_source=rss&utm_medium=rss&utm_campaign=IA_Feed",Evening,Thursday,0.0,neutral,Melbourne,"-37.813629,144.963058",Alpha1Nine@aus.social,1,0,https://aus.social/@Alpha1Nine/113602618514629554
113602607772930660,2024-12-05T22:37:07+00:00,"On stopping seabed mining, AGMs and bad guests https://www. greenpeace.org/aotearoa/story/ on-stopping-seabed-mining-agms-and-bad-guests/?utm_medium=share&utm_content=postid-67631&utm_source=mastodon # nzpol # auspol # ocean # greenpeace # Indigenous",Evening,Thursday,-0.09999999999999998,negative,Adelaide,"-34.928497,138.600739",greenpeace@mas.to,2,0,https://mas.to/@greenpeace/113602607705871866
113602604594053296,2024-12-05T22:36:17+00:00,Confronting global inequality through magical realism https://www. greenleft.org.au/content/confr onting-global-inequality-through-magical-realism # Auspol,Evening,Thursday,0.125,positive,Melbourne,"-37.813629,144.963058",IndyMediaAus@mastodon.social,0,0,https://mastodon.social/@IndyMediaAus/113602604372333771
